FAED11,11179118000145,FDO INV IMOB - FII ANHANGUERA EDUCACIONAL,FII ANH EDUC
FAMB11B,05562312000102,FDO INV IMOB - FII EDIFÍCIO ALMIRANTE BARROSO,FII ALMIRANT
FCFL11,11602654000101,FDO INV IMOB - FII CAMPUS FARIA LIMA,FII CAMPUSFL
FEXC11,09552812000114,FDO INV IMOB - FII BTG PACTUAL FUNDO DE CRI,FII EXCELLEN
FIGS11,17590518000125,FDO INV IMOB GENERAL SHOPPING ATIVO E RENDA - FII,FII GEN SHOP
FIIB11,14217108000145,FDO INV IMOB INDUSTRIAL DO BRASIL,FII INDL BR
FIIP11B,08696175000197,RB CAPITAL RENDA I FDO INV IMOB - FII,FII RB CAP I
FINF11,18369510000104,FDO INV IMOB INFRA REAL ESTATE - FII,FII INFRA RE
FISC11,12804013000100,FDO INV IMOB SC 401,FII SC 401
FISD11,16543270000189,SAO DOMINGOS FDO INV IMOB - FII,FII DOMINGOS
FIVN11,17854016000164,FDO INV IMOB VIDA NOVA - FII,FII VIDANOVA
FLMA11,04141645000103,FDO INV IMOB CONTINENTAL SQUARE FARIA LIMA,FII S F LIMA
FLRP11,10375382000191,FDO INV IMOB - FII FLORIPA SHOPPING,FII FLORIPA
FMOF11,01633741000172,FDO INV IMOB MEMORIAL OFFICE,FII MEMORIAL
FPAB11,03251720000118,FDO INV IMOB PROJETO ÁGUA BRANCA,FII A BRANCA
FPNG11,17161979000182,FDO INV IMOB PEDRA NEGRA RENDA IMOB,FII P NEGRA
FTCE11B,01235622000161,OPPORTUNITY FDO INV IMOB,FII OPPORTUN
FVBI11,13022993000144,FDO INV IMOB VBI FL 4440 - FII,FII VBI 4440
FVPQ11,00332266000131,FDO INV IMOB VIA PARQUE SHOPPING - FII,FII V PARQUE
GESE11B,17007528000195,FDO INV IMOB GENERAL SEVERIANO - FII,FII GEN SEV
GGRC11,26614291000100,GGR COVEPI RENDA FDO INV IMOB,FII GGRCOVEP
GRLV11,17143998000186,CSHG GR LOUVEIRA FDO DE INV IMOB - FII,FII LOUVEIRA
GSFI11,11769604000113,GENERAL SHOP E OUTLETS DO BRASIL FDO INV IMOB - FI,FII GENERAL
GTWR11,23740527000158,FDO INV IMOB GREEN TOWERS,FII G TOWERS
HABT11,30578417000105,HABITAT II - FDO INV IMOB,FII HABIT II
HBTT11,26846202000142,FDO INV IMOB HABITAT I,FII HABITAT
HCRI11,04066582000160,FDO INV IMOB - FII HOSPITAL DA CRIANÇA,FII CRIANCA
HCTR11,30248180000196,HECTARE CE - FDO INV IMOB,FII HECTARE
HFOF11,18307582000119,HEDGE TOP FOFII 3 FDO INV IMOB,FII HTOPFOF3
HGBS11,08431747000106,HEDGE BRASIL SHOPPING FDO INV IMOB,FII HEDGEBS
HGCR11,11160521000122,CSHG RECEBÍVEIS IMOBILIÁRIOS FDO INV IMOB - FII,FII CSHG CRI
HGFF11,32784898000122,CSHG IMOB. FOF - FDO INV. IMOB. - FII,FII CSHG FOF
HGLG11,11728688000147,CSHG LOGÍSTICA FDO INV IMOB - FII,FII CSHG LOG
HGPO11,11260134000168,CSHG PRIME OFFICES FDO INV IMOB - FII,FII CSHGPRIM
HGRE11,09072017000129,CSHG REAL ESTATE FDO INV IMOB - FII,FII HG REAL
HGRU11,29641226000153,CSHG RENDA URBANA - FDO INV IMOB - FII,FII CSHG URB
HLOG11,27486542000172,HEDGE LOGÍSTICA FDO. INV. IMOB.,FII HEDGELOG
HMOC11,14733211000148,HEDGE SHOPPING PRAÇA DA MOÇA FDO INV IMOB,FII HEDMOCA
HOSI11,34081631000102,FDO. INV. IMOB. HOUSI,FII HOUSI
HPDP11,35586415000173,HEDGE SHOPPING PARQUE DOM PEDRO FDO. DE INV. IMOB.,FII HEDGE RE
HRDF11,16929519000199,HEDGE REALTY DEVELOPMENT FDO INV IMOB,FII HREALTY
HSML11,32892018000131,HSI MALL FDO INV IMOB,FII HSI MALL
HTMX11,08706065000169,FDO INV IMOB - FII HOTEL MAXINVEST,FII HOTEL MX
HUSC11,28851767000143,FDO INV IMOB HOSPITAL UNIMED SUL CAPIXABA,FII H UNIMED
HUSI11,30017492000199,HUSI FDO INV. IMOB.,FII HUSI
IBFF11,33721517000129,FDO INV. IMOB. FOF INTEGRAL BREI,FII FOF BREI
IRDM11,28830325000110,FII IRIDIUM RECEBÍVEIS IMOBILIÁRIOS,FII IRIDIUM
JPPA11,30982880000100,JPP ALLOCATION MOGNO - FDO INV IMOB,FII JPPMOGNO
JPPC11,17216625000198,JPP CAPITAL FDO INV IMOB - FII,FII JPP CAPI
JRDM11,14879856000193,FDO INV IMOB - FII SHOPPING JARDIM SUL,FII SHOPJSUL
JSRE11,13371132000171,JS REAL ESTATE MULTIGESTÃO - FII,FII JS REAL
JTPR11,23876086000116,JT PREV FDO INV IMOB DESENVOLVIMENTO HABITACIONAL,FII JT PREV
KFOF11,30091444000140,FUNDO DE FDO INV IMOB KINEA FII,FII KINEAFOF
KINP11,24070076000151,EVEN PERMUTA KINEA FII - FDO INV IMOB,FII EV KINEA
KNCR11,16706958000132,KINEA RENDIMENTOS IMOBILIÁRIOS FDO INV IMOB - FII,FII KINEA RI
KNHY11,30130708000128,KINEA HIGH YIELD CRI FDO INV IMOB - FII,FII KINEA HY
KNIP11,24960430000113,KINEA ÍNDICES DE PREÇOS FDO INV IMOB - FII,FII KINEA IP
KNRE11,14423780000197,KINEA II REAL ESTATE EQUITY FDO INV IMOB,FII KII REAL
KNRI11,12005956000165,KINEA RENDA IMOBILIÁRIA FDO INV IMOB - FII,FII KINEA
LASC11,30248158000146,LEGATUS SHOPPINGS FDO. INV. IMOB. - FII,FII LEGATUS
LATR11B,17209378000100,LATERES FDO INV IMOB - FII,FII LATERES
LGCP11,34598181000111,LOGCP INTER FDO INV IMOB,FII LGCP INT
LOFT11B,19722048000131,LOFT I - FDO INV IMOB,FII LOFT I
LOFT13B,19722048000131,LOFT I - FDO INV IMOB,FII LOFT I
LUGG11,34835191000123,LUGGO FDO. INV. IMOB.,FII LUGGO
LVBI11,30629603000118,FDO INV IMOB - VBI LOGÍSTICO,FII VBI LOG
MALL11,26499833000132,MALLS BRASIL PLURAL FDO INV IMOB,FII MALLS BP
MAXR11,11274415000170,FDO INV IMOB - FII MAX RETAIL,FII MAX RET
MBRF11,13500306000159,FDO INV IMOB MERCANTIL DO BRASIL - FII,FII MERC BR
MCCI11,23648935000184,FDO INV. MAUA CAPITAL RECEBIVEIS IMOB. - FII,FII MAUA
MFII11,16915968000188,MÉRITO DESENVOLVIMENTO IMOBILIÁRIO I FII - FII,FII MERITO I
MGFF11,29216463000177,FDO INV IMOB MOGNO FUNDO DE FUNDOS,FII MOGNO
MGHT11,34197776000165,FDO. INV. IMOB. MOGNO HOTEIS,FII MOGNO HT
MORE11,34197727000122,MORE REAL ESTATE FOF FII FDO. INV. IMOB.,FII MORE RE
MXRF11,97521225000125,MAXI RENDA FDO INV IMOB - FII,FII MAXI REN
NCHB11,18085673000157,FDO INV IMOB - FII NCH BRASIL RECEBÍVEIS IMOB,FII NCH BRA
NEWL11,32527626000147,NEWPORT LOGÍSTICA FDO INV. IMOB.,FII NEWPORT
NEWU11,14793782000178,NEWPORT RENDA URBANA FDO INV IMOB,FII NEWRU
NPAR11,24814916000143,FDO INV IMOB NESTPAR - FII,FII NESTPAR
NSLU11,08014513000163,FDO INV IMOB - FII HOSPITAL NOSSA SRA DE LOURDES,FII LOURDES
NVHO11,17025970000144,FDO INV IMOB - FII NOVO HORIZONTE,FII NOVOHORI
NVIF11B,22003469000117,NOVA I - FDO INV IMOB - FII,FII NOVA I
ONEF11,12948291000123,FDO INV IMOB THE ONE,FII THE ONE
ORPD11,19107604000160,OURO VERDE DESENV IMOB I FDO INV IMOB - FII,FII OURO PRT
OUCY11,28516650000103,FUNDO INV IMOB - OURINVEST CYRELA - FII,FII OURICYRE
OUFF11,30791386000168,FDO INV IMOB - OURINVEST FUNDO DE FUNDOS,FII OURI FOF
OUJP11,26091656000150,OURINVEST JPP FDO INV IMOB - FII,FII OURI JPP
OUJP12,26091656000150,OURINVEST JPP FDO INV IMOB - FII,FII OURI JPP
OULG11,13974819000100,FDO INV IMOB OURINVEST LOGÍSTICA,FII OURILOG
PABY11,00613094000174,FDO INV IMOB PANAMBY,FII PANAMBY
PATC11,30048651000112,PÁTRIA EDIFÍCIOS CORPORATIVOS FDO INV IMOB - FII,FII PATRIA
PBLV11,31962875000106,PROLOGIS BRAZIL LOGISTICS VENTURE FDO INV IMOB,FII PROLOGIS
PLCR11,32527683000126,FDO INV. IMOB. PLURAL RECEBIVEIS,FII PLURAL R
PLRI11,14080689000116,POLO FDO INV IMOB - FII RECEBÍVEIS IMOBILIÁRIOS I,FII POLO I
PORD11,17156502000109,POLO FDO INV IMOB - RECEBÍVEIS IMOB II - FII,FII POLO CRI
PQDP11,10869155000112,FDO INV IMOB - FII PARQUE D. PEDRO SHOPPING CENTER,FII D PEDRO
PRSN11B,14056001000162,PERSONALE I FDO INV IMOB - FII,FII PERSONAL
PRSV11,11281322000172,FDO INV IMOB - FII PRESIDENTE VARGAS,FII P VARGAS
PRTS11,22957521000174,MULTI PROPERTIES FDO INV IMOB - FII,FII MULTPROP
QAGR11,32754734000152,QUASAR AGRO - FDO INV. IMOB.,FII QUASAR A
RBBV11,16915868000151,JHSF RIO BRAVO FAZENDA BOA VISTA CAP. PROT. - FII,FII JHSF FBV
RBCO11,31894369000119,RB CAPITAL OFFICE INCOME FDO INV. IMOB.,FII R INCOME
RBDS11,11945604000127,RB CAPITAL DESENV. RESID. II FDO INV IMOB - FII,FII RBRESID2
RBED11,13873457000152,FDO INV IMOB RIO BRAVO RENDA EDUCACIONAL - FII,FII RIOB ED
RBFF11,17329029000114,RIO BRAVO IFIX FDO INV IMOB,FII RIOB FF
RBGS11,13652006000195,RB CAPITAL GENERAL SHOP SULACAP FDO INV IMOB - FII,FII RB GSB I
RBIR11,31161410000148,RB CAPITAL DESENV. RESIDENCIAL IV FDO. INV. IMOB.,FII RBRES IV
RBIV11,30647758000187,RIO BRAVO CRÉDITO IMOB IV FDO INV IMOB - FII,FII RBCRI IV
RBRD11,09006914000134,RB CAPITAL RENDA II FDO INV IMOB - FII,FII RB II
RBRF11,27529279000151,RBR ALPHA MULTIESTRATÉGIA REAL ESTATE FDO INV IMOB,FII RBRALPHA
RBRF12,27529279000151,RBR ALPHA MULTIESTRATÉGIA REAL ESTATE FDO INV IMOB,FII RBRALPHA
RBRL11,35705463000133,RBR LOG –  FUNDO DE INVESTIMENTO IMOBILIÁRIO,FII RBR LOG
RBRM11,26314437000193,FDO INV IMOB - FII RBR DESENVOLVIMENTO,FII RBR DES
RBRP11,21408063000151,FDO INV IMOB RBR PROPERTIES - FII,FII RBR PROP
RBRR11,29467977000103,FDO INV IMOB - FII RBR RENDIMENTO HIGH GRADE,FII RBRHGRAD
RBRY11,30166700000111,FDO INV IMOB RBR CRÉDITO IMOB HIGH YIELD,FII RBR PCRI
RBTS11,29299737000139,RB CAPITAL TFO SITUS FDO INV IMOB - FII,FII RB TFO
RBVA11,15576907000170,FDO INV IMOB RIO BRAVO RENDA VAREJO - FII,FII RIOB VA
RBVO11,15769670000144,RIO BRAVO CRÉDITO IMOBILIÁRIO II FDO INV IMOB -FII,FII RIOBCRI2
RCFA11,27771586000144,GRUPO RCFA FDO INV IMOB,FII GP RCFA
RCRB11,03683056000186,FDO INV IMOB RIO BRAVO RENDA CORPORATIVA,FII RIOB RC
RCRI11B,26511274000139,RB CAPITAL RENDIMENTOS IMOB FDO INV IMOB - FII,FII RB CRI
RDPD11,23120027000113,BB RENDA DE PAPEIS IMOB II FDO INV IMOB - FII,FII BB PAPII
RECT11,32274163000159,FDO INV IMOB - FII UBS (BR) OFFICE,FII UBSOFFIC
REIT11,16841067000199,SOCOPA FDO INV IMOB - FII,FII REIT RIV
RFOF11,34027774000128,FDO. INVEST. IMOB. RB CAPITAL I FUNDO DE FUNDOS,FII RB CFOF
RNDP11,15394563000189,BB RENDA DE PAPÉIS IMOBILIÁRIOS FDO INV IMOB - FII,FII BB R PAP
RNGO11,15006286000190,FDO INV IMOB RIO NEGRO - FII,FII RIONEGRO
RSPD11,19249989000108,RB CAPITAL DESENV RESID III FDO INV IMOB - FII,FII RBRESID3
RVBI11,35507457000171,VBI REITS FOF - FDO. INV. IMOB,FII VBI REIT
SADI11,32903521000145,SANTANDER PAPEIS IMOB CDI FDO INV IMOB,FII SANT PAP
SAIC11B,17311079000174,FDO INV IMOB - FII SIA CORPORATE,FII SIA CORP
SARE11,32903702000171,SANTANDER RENDA DE ALUGUÉIS FDO. INVEST. IMOB.,FII SANT REN
SCPF11,01657856000105,FDO INV IMOB SCP,FII SCP
SDIL11,16671412000193,FDO INV IMOB SDI RIO BRAVO RENDA LOGISTICA - FII,FII SDI LOG
SDIP11,26681370000125,TELLUS PROPERTIES - FDO INV. IMOB,FII SDI PROP
SFND11,09350920000104,FDO INV IMOB SÃO FERNANDO,FII SAO FER
SHDP11B,07224019000160,FDO INV IMOB - FII SHOPPING PARQUE D. PEDRO,FII SHOP PDP
SHOP11,22459737000100,MULTI SHOPPINGS FDO INV IMOB - FII,FII MULTSHOP
SHPH11,03507519000159,FDO INV IMOB SHOPPING PÁTIO HIGIENÓPOLIS,FII HIGIENOP
SPAF11,18311024000127,SPA FDO INV IMOB - FII,FII SPA
SPTW11,15538445000105,SP DOWNTOWN FDO INV IMOB - FII,FII SP DOWNT
STRX11,11044355000107,STARX FDO INV IMOB - FII,FII STARX
TBOF11,17365105000147,FDO INV IMOB - FII TB OFFICE,FII TBOFFICE
TCPF11,26990011000150,TREECORP REAL ESTATE FDO INV IMOB - I,FII TREECORP
TFOF11,20834884000197,HEDGE TOP FOFII FDO INV IMOB,FII HTOPFOF
TGAR11,25032881000153,FDO INV IMOB TG ATIVO REAL,FII TG ATIVO
THRA11,13966653000171,FDO INV IMOB - FII CYRELA THERA CORPORATE,FII BM THERA
TORD11,30230870000118,TORDESILHAS EI FDO. INV. IMOB.,FII TORDE EI
TORM13,26395660000102,FDO INV IMOB TOURMALET I,FII TOURMALE
TOUR11,30578316000126,FDO INV IMOB TOURMALET II,FII TOUR II
TOUR12,30578316000126,FDO INV IMOB TOURMALET II,FII TOUR II
TOUR13,30578316000126,FDO INV IMOB TOURMALET II,FII TOUR II
TRNT11,04722883000102,FDO INV IMOB - FII TORRE NORTE,FII TORRE NO
TRXF11,28548288000152,TRX REAL ESTATE FDO. INV. IMOB. - FII,FII TRX REAL
TSNC11,17007443000107,TRANSINC FDO INV IMOB - FII,FII TRANSINC
UBSR11,28152272000126,FDO INV IMOB - FII UBS (BR) RECEB IMOB,FII UBS (BR)
VCJR11,32400250000105,VECTIS JUROS REAL FDO INV. IMOB. - FII,FII VECTIS
VERE11,08693497000182,FDO INV IMOB VEREDA - FII,FII VEREDA
VGIP11,34197811000146,VALORA CRI ÍNDICE DE PREÇO FDO INVEST. IMOB. FII,FII VALORAIP
VGIR11,29852732000191,VALORA RE III FDO INV IMOB - FII,FII VALREIII
VILG11,24853044000122,VINCI LOGÍSTICA FDO INV IMOB - FII,FII VINCILOG
VINO11,12516185000170,VINCI OFFICES FDO INV IMOB,FII VINC COR
VISC11,17554274000125,VINCI SHOPPING CENTERS FDO INVEST IMOB - FII,FII VINCI SC
VLJS11,13842683000176,VECTOR QUELUZ ATIVOS IMOB FDO INV IMOB,FII VQ LAJES
VLJS12,13842683000176,VECTOR QUELUZ ATIVOS IMOB FDO INV IMOB,FII VQ LAJES
VLOL11,15296696000112,FDO INV IMOB - FII VILA OLÍMPIA CORPORATE,FII OLIMPIA
VOTS11,17870926000130,VOTORANTIM SECURITIES MASTER FDO INV IMOB - FII,FII V MASTER
VPSI11,14721889000100,FDO INV IMOB POLO SHOPPING INDAIATUBA,FII POLO SHO
VRTA11,11664201000100,FATOR VERITA FDO INV IMOB - FII,FII FATOR VE
